year,district,contact_type_cd,sex_code_cd,race_code_cd,age_group,count
2016,4,INVSTG,M,BLK,50-60,552
2016,4,INVSTG,M,BLK,60 or older,107
2016,4,INVSTG,M,BLK,Juvenile,928
2016,4,INVSTG,M,I,19-30,1
2016,4,INVSTG,M,I,30-40,2
2016,4,INVSTG,M,I,Juvenile,4
2016,4,INVSTG,M,P,40-50,1
2016,4,INVSTG,M,P,Juvenile,1
2016,4,INVSTG,M,WHI,19-30,1
2016,4,INVSTG,M,WHT,19-30,42
2016,4,INVSTG,M,WHT,30-40,19
2016,4,INVSTG,M,WHT,40-50,28
2016,4,INVSTG,M,WHT,50-60,10
2016,4,INVSTG,M,WHT,60 or older,2
2016,4,INVSTG,M,WHT,Juvenile,11
2016,4,INVSTG,M,WWH,19-30,488
2016,4,INVSTG,M,WWH,30-40,106
2016,4,INVSTG,M,WWH,40-50,82
2016,4,INVSTG,M,WWH,50-60,27
2016,4,INVSTG,M,WWH,60 or older,7
2016,4,INVSTG,M,WWH,Juvenile,318
2016,4,INVSTG,X,BLK,50-60,1
2016,4,INVSTG,X,BLK,Juvenile,2
2016,4,INVSTG,X,I,40-50,3
2016,4,INVSTG,X,I,50-60,1
2016,4,INVSTG,X,I,Juvenile,1
2016,4,INVSTG,X,WHT,30-40,1
2016,4,INVSTG,X,WHT,Juvenile,1
2016,5,GANGLTR,F,API,40-50,1
2016,5,GANGLTR,F,BLK,19-30,5
2016,5,GANGLTR,F,BLK,30-40,2
2016,5,GANGLTR,F,BLK,40-50,6
2016,5,GANGLTR,F,BLK,50-60,5
2016,5,GANGLTR,F,BLK,Juvenile,2
2016,5,GANGLTR,M,API,19-30,2
2016,5,GANGLTR,M,BLK,19-30,94
2016,5,GANGLTR,M,BLK,30-40,27
2016,5,GANGLTR,M,BLK,40-50,24
2016,5,GANGLTR,M,BLK,50-60,13
2016,5,GANGLTR,M,BLK,60 or older,6
2016,5,GANGLTR,M,BLK,Juvenile,31
2016,5,GANGLTR,M,WHT,19-30,1
2016,5,GANGLTR,M,WHT,30-40,1
2016,5,INVSTG,F,API,19-30,2
2016,5,INVSTG,F,API,40-50,1
2016,5,INVSTG,F,BLK,19-30,255
2016,5,INVSTG,F,BLK,30-40,95
2016,5,INVSTG,F,BLK,40-50,80
2016,5,INVSTG,F,BLK,50-60,54
2016,5,INVSTG,F,BLK,60 or older,11
2016,5,INVSTG,F,BLK,Juvenile,157
2016,5,INVSTG,F,P,30-40,1
2016,5,INVSTG,F,WHT,19-30,4
2016,5,INVSTG,F,WHT,30-40,6
2016,5,INVSTG,F,WHT,40-50,2
2016,5,INVSTG,F,WHT,Juvenile,2
2016,5,INVSTG,F,WWH,19-30,3
2016,5,INVSTG,F,WWH,30-40,6
2016,5,INVSTG,F,WWH,40-50,1
2016,5,INVSTG,F,WWH,Juvenile,3
2016,5,INVSTG,M,API,19-30,11
2016,5,INVSTG,M,API,30-40,4
2016,5,INVSTG,M,API,40-50,3
2016,5,INVSTG,M,API,50-60,2
2016,5,INVSTG,M,API,Juvenile,4
2016,5,INVSTG,M,BLK,19-30,1623
2016,5,INVSTG,M,BLK,30-40,481
2016,5,INVSTG,M,BLK,40-50,291
2016,5,INVSTG,M,BLK,50-60,265
2016,5,INVSTG,M,BLK,60 or older,67
2016,5,INVSTG,M,BLK,Juvenile,695
2016,5,INVSTG,M,I,19-30,2
2016,5,INVSTG,M,I,30-40,2
2016,5,INVSTG,M,I,Juvenile,1
2016,5,INVSTG,M,P,30-40,1
2016,5,INVSTG,M,P,50-60,1
2016,5,INVSTG,M,WBH,50-60,1
2016,5,INVSTG,M,WHT,19-30,11
2016,5,INVSTG,M,WHT,30-40,19
2016,5,INVSTG,M,WHT,40-50,9
2016,5,INVSTG,M,WHT,50-60,5
2016,5,INVSTG,M,WHT,60 or older,5
2016,5,INVSTG,M,WHT,Juvenile,3
2016,5,INVSTG,M,WWH,19-30,21
2016,5,INVSTG,M,WWH,30-40,10
2016,5,INVSTG,M,WWH,40-50,4
2016,5,INVSTG,M,WWH,50-60,5
2016,5,INVSTG,M,WWH,60 or older,1
2016,5,INVSTG,M,WWH,Juvenile,11
2016,5,INVSTG,X,BLK,19-30,3
2016,6,GANGLTR,F,BLK,19-30,1
2016,6,GANGLTR,F,BLK,30-40,1
2016,6,GANGLTR,F,BLK,40-50,2
2016,6,GANGLTR,F,BLK,50-60,2
2016,6,GANGLTR,M,API,30-40,1
2016,6,GANGLTR,M,BLK,19-30,102
2016,6,GANGLTR,M,BLK,30-40,25
2016,6,GANGLTR,M,BLK,40-50,28
2016,6,GANGLTR,M,BLK,50-60,34
2016,6,GANGLTR,M,BLK,60 or older,6
2016,6,GANGLTR,M,BLK,Juvenile,28
2016,6,INVSTG,F,API,19-30,4
2016,6,INVSTG,F,API,30-40,1
2016,6,INVSTG,F,BLK,19-30,198
2016,6,INVSTG,F,BLK,30-40,82
2016,6,INVSTG,F,BLK,40-50,64
2016,6,INVSTG,F,BLK,50-60,44
2016,6,INVSTG,F,BLK,60 or older,12
2016,6,INVSTG,F,BLK,Juvenile,217
2016,6,INVSTG,F,I,19-30,2
2016,6,INVSTG,F,I,Juvenile,1
2016,6,INVSTG,F,WHT,19-30,12
