year,district,contact_type_cd,age_group,a_count
2018,6,GANGLTR,40-50,115
2018,6,GANGLTR,50-60,94
2018,6,GANGLTR,60 or older,12
2018,6,GANGLTR,Juvenile,66
2018,6,INVSTG,19-30,3616
2018,6,INVSTG,30-40,1204
2018,6,INVSTG,40-50,685
2018,6,INVSTG,50-60,551
2018,6,INVSTG,60 or older,176
2018,6,INVSTG,Juvenile,1420
2018,7,GANGLTR,19-30,117
2018,7,GANGLTR,30-40,60
2018,7,GANGLTR,40-50,30
2018,7,GANGLTR,50-60,41
2018,7,GANGLTR,60 or older,7
2018,7,GANGLTR,Juvenile,10
2018,7,INVSTG,19-30,5966
2018,7,INVSTG,30-40,2189
2018,7,INVSTG,40-50,990
2018,7,INVSTG,50-60,879
2018,7,INVSTG,60 or older,251
2018,7,INVSTG,Juvenile,1825
2018,8,GANGLTR,19-30,243
2018,8,GANGLTR,30-40,52
2018,8,GANGLTR,40-50,12
2018,8,GANGLTR,50-60,5
2018,8,GANGLTR,60 or older,1
2018,8,GANGLTR,Juvenile,76
2018,8,INVSTG,19-30,3521
2018,8,INVSTG,30-40,1240
2018,8,INVSTG,40-50,734
2018,8,INVSTG,50-60,568
2018,8,INVSTG,60 or older,187
2018,8,INVSTG,Juvenile,1596
2018,9,GANGLTR,19-30,56
2018,9,GANGLTR,30-40,7
2018,9,GANGLTR,40-50,4
2018,9,GANGLTR,50-60,1
2018,9,GANGLTR,Juvenile,24
2018,9,INVSTG,19-30,3358
2018,9,INVSTG,30-40,1055
2018,9,INVSTG,40-50,625
2018,9,INVSTG,50-60,484
2018,9,INVSTG,60 or older,126
2018,9,INVSTG,Juvenile,1496
2018,10,GANGLTR,19-30,157
2018,10,GANGLTR,30-40,17
2018,10,GANGLTR,40-50,11
2018,10,GANGLTR,50-60,12
2018,10,GANGLTR,60 or older,2
2018,10,GANGLTR,Juvenile,124
2018,10,INVSTG,19-30,3240
2018,10,INVSTG,30-40,1429
2018,10,INVSTG,40-50,1114
2018,10,INVSTG,50-60,1063
2018,10,INVSTG,60 or older,349
2018,10,INVSTG,Juvenile,1285
2018,11,GANGLTR,19-30,328
2018,11,GANGLTR,30-40,68
2018,11,GANGLTR,40-50,26
2018,11,GANGLTR,50-60,17
2018,11,GANGLTR,60 or older,2
2018,11,GANGLTR,Juvenile,102
2018,11,INVSTG,19-30,4404
2018,11,INVSTG,30-40,1867
2018,11,INVSTG,40-50,1349
2018,11,INVSTG,50-60,1149
2018,11,INVSTG,60 or older,276
2018,11,INVSTG,Juvenile,1301
2018,12,GANGLTR,19-30,157
2018,12,GANGLTR,30-40,46
2018,12,GANGLTR,40-50,28
2018,12,GANGLTR,50-60,24
2018,12,GANGLTR,60 or older,1
2018,12,GANGLTR,Juvenile,37
2018,12,INVSTG,19-30,1473
2018,12,INVSTG,30-40,819
2018,12,INVSTG,40-50,721
2018,12,INVSTG,50-60,746
2018,12,INVSTG,60 or older,245
2018,12,INVSTG,Juvenile,822
2018,14,GANGLTR,19-30,2
2018,14,GANGLTR,30-40,1
2018,14,GANGLTR,40-50,1
2018,14,GANGLTR,Juvenile,2
2018,14,INVSTG,19-30,1161
2018,14,INVSTG,30-40,472
2018,14,INVSTG,40-50,327
2018,14,INVSTG,50-60,239
2018,14,INVSTG,60 or older,109
2018,14,INVSTG,Juvenile,626
2018,15,GANGLTR,19-30,236
2018,15,GANGLTR,30-40,48
2018,15,GANGLTR,40-50,6
2018,15,GANGLTR,50-60,5
2018,15,GANGLTR,60 or older,1
2018,15,GANGLTR,Juvenile,50
2018,15,INVSTG,19-30,2535
2018,15,INVSTG,30-40,1018
2018,15,INVSTG,40-50,530
2018,15,INVSTG,50-60,446
2018,15,INVSTG,60 or older,137
2018,15,INVSTG,Juvenile,753
2018,16,GANGLTR,19-30,3
2018,16,INVSTG,19-30,959
2018,16,INVSTG,30-40,466
2018,16,INVSTG,40-50,330
2018,16,INVSTG,50-60,291
2018,16,INVSTG,60 or older,126
2018,16,INVSTG,Juvenile,914
2018,17,INVSTG,19-30,890
2018,17,INVSTG,30-40,431
2018,17,INVSTG,40-50,291
2018,17,INVSTG,50-60,267
2018,17,INVSTG,60 or older,72
2018,17,INVSTG,Juvenile,629
2018,18,GANGLTR,19-30,119
2018,18,GANGLTR,30-40,63
2018,18,GANGLTR,40-50,74
2018,18,GANGLTR,50-60,50
2018,18,GANGLTR,60 or older,11
2018,18,GANGLTR,Juvenile,13
2018,18,INVSTG,19-30,1168
2018,18,INVSTG,30-40,475
2018,18,INVSTG,40-50,458
2018,18,INVSTG,50-60,416
2018,18,INVSTG,60 or older,129
2018,18,INVSTG,Juvenile,573
2018,19,GANGLTR,19-30,37
2018,19,GANGLTR,30-40,4
2018,19,GANGLTR,40-50,4
2018,19,GANGLTR,Juvenile,37
2018,19,INVSTG,19-30,1179
2018,19,INVSTG,30-40,492
2018,19,INVSTG,40-50,324
2018,19,INVSTG,50-60,295
2018,19,INVSTG,60 or older,93
2018,19,INVSTG,Juvenile,510
2018,20,GANGLTR,19-30,4
2018,20,GANGLTR,30-40,25
2018,20,GANGLTR,40-50,11
2018,20,GANGLTR,50-60,9
2018,20,GANGLTR,60 or older,4
2018,20,GANGLTR,Juvenile,4
2018,20,INVSTG,19-30,680
2018,20,INVSTG,30-40,458
2018,20,INVSTG,40-50,337
2018,20,INVSTG,50-60,310
2018,20,INVSTG,60 or older,161
2018,20,INVSTG,Juvenile,473
2018,22,GANGLTR,19-30,2
2018,22,GANGLTR,30-40,3
2018,22,GANGLTR,40-50,4
2018,22,GANGLTR,50-60,9
2018,22,GANGLTR,60 or older,4
2018,22,INVSTG,19-30,1268
2018,22,INVSTG,30-40,465
2018,22,INVSTG,40-50,327
2018,22,INVSTG,50-60,336
2018,22,INVSTG,60 or older,96
2018,22,INVSTG,Juvenile,696
2018,24,GANGLTR,19-30,13
2018,24,GANGLTR,30-40,3
2018,24,GANGLTR,40-50,1
2018,24,GANGLTR,Juvenile,5
2018,24,INVSTG,19-30,1513
2018,24,INVSTG,30-40,733
2018,24,INVSTG,40-50,503
2018,24,INVSTG,50-60,374
2018,24,INVSTG,60 or older,157
2018,24,INVSTG,Juvenile,961
2018,25,GANGLTR,19-30,59
2018,25,GANGLTR,30-40,10
2018,25,GANGLTR,40-50,2
2018,25,GANGLTR,50-60,3
2018,25,GANGLTR,Juvenile,38
2018,25,INVSTG,19-30,3034
2018,25,INVSTG,30-40,1367
2018,25,INVSTG,40-50,1102
2018,25,INVSTG,50-60,770
2018,25,INVSTG,60 or older,234
2018,25,INVSTG,Juvenile,1607
2018,31,GANGLTR,30-40,1
2018,31,GANGLTR,40-50,1
2018,31,GANGLTR,Juvenile,1
2018,31,INVSTG,19-30,118
2018,31,INVSTG,30-40,47
2018,31,INVSTG,40-50,20
2018,31,INVSTG,50-60,12
2018,31,INVSTG,60 or older,3
2018,31,INVSTG,Juvenile,47
2018,41,GANGLTR,19-30,1
2018,41,INVSTG,19-30,6
2018,41,INVSTG,30-40,1
2018,41,INVSTG,40-50,2
2018,41,INVSTG,50-60,2
2018,41,INVSTG,Juvenile,2
2018,51,INVSTG,50-60,1
2019,1,GANGLTR,19-30,1
2019,1,GANGLTR,40-50,1
2019,1,INVSTG,19-30,1904
2019,1,INVSTG,30-40,1142
2019,1,INVSTG,40-50,908
