year,district,contact_type_cd,count,age_group,a_count,race_code_cd,r_count,sex_code_cd,s_count
2016,3,GANGLTR,525,Juvenile,140,BLK,520,M,508
2016,3,GANGLTR,525,Juvenile,140,I,3,F,17
2016,3,GANGLTR,525,Juvenile,140,I,3,M,508
2016,3,GANGLTR,525,Juvenile,140,WHT,1,F,17
2016,3,GANGLTR,525,Juvenile,140,WHT,1,M,508
2016,3,INVSTG,4327,19-30,1795,API,33,F,599
2016,3,INVSTG,4327,19-30,1795,API,33,M,3724
2016,3,INVSTG,4327,19-30,1795,API,33,X,4
2016,3,INVSTG,4327,19-30,1795,BLK,4206,F,599
2016,3,INVSTG,4327,19-30,1795,BLK,4206,M,3724
2016,3,INVSTG,4327,19-30,1795,BLK,4206,X,4
2016,3,INVSTG,4327,19-30,1795,I,7,F,599
2016,3,INVSTG,4327,19-30,1795,I,7,M,3724
2016,3,INVSTG,4327,19-30,1795,I,7,X,4
2016,3,INVSTG,4327,19-30,1795,P,1,F,599
2016,3,INVSTG,4327,19-30,1795,P,1,M,3724
2016,3,INVSTG,4327,19-30,1795,P,1,X,4
2016,3,INVSTG,4327,19-30,1795,WHT,50,F,599
2016,3,INVSTG,4327,19-30,1795,WHT,50,M,3724
2016,3,INVSTG,4327,19-30,1795,WHT,50,X,4
2016,3,INVSTG,4327,19-30,1795,WWH,30,F,599
2016,3,INVSTG,4327,19-30,1795,WWH,30,M,3724
2016,3,INVSTG,4327,19-30,1795,WWH,30,X,4
2016,3,INVSTG,4327,30-40,652,API,33,F,599
2016,3,INVSTG,4327,30-40,652,API,33,M,3724
2016,3,INVSTG,4327,30-40,652,API,33,X,4
2016,3,INVSTG,4327,30-40,652,BLK,4206,F,599
2016,3,INVSTG,4327,30-40,652,BLK,4206,M,3724
2016,3,INVSTG,4327,30-40,652,BLK,4206,X,4
2016,3,INVSTG,4327,30-40,652,I,7,F,599
2016,3,INVSTG,4327,30-40,652,I,7,M,3724
2016,3,INVSTG,4327,30-40,652,I,7,X,4
2016,3,INVSTG,4327,30-40,652,P,1,F,599
2016,3,INVSTG,4327,30-40,652,P,1,M,3724
2016,3,INVSTG,4327,30-40,652,P,1,X,4
2016,3,INVSTG,4327,30-40,652,WHT,50,F,599
